illustration_id,en,ja
i-1692,transaction,取引
i-1693,census,国勢調査
i-1694,breakthrough,大発見、飛躍的進歩
i-1695,sphere,領域、球体
i-1696,circulation,循環、流通
i-1697,vacuum,真空、掃除機
i-1698,revenue,歳入、収入
i-1699,treaty,条約
i-1700,supreme,最高の
i-1701,insufficient,不十分な
i-1702,acute,激しい、深刻な
i-1703,monetary,金銭の、金銭的な
i-1704,drastic,抜本的な、徹底的な
i-1705,bless,恵みを与える、祝福する
i-1706,conform,従う、順応する
i-1707,provoke,引き起こす、挑発する
i-1708,digest,消化する、理解する
i-1709,utter,口にする、発する
i-1710,accommodate,収容する、対応する
i-1711,reassure,安心させる、再保証する
i-1712,surpass,上回る、超える
i-1713,decay,腐る、衰える
i-1714,tolerate,我慢する、許容する
i-1715,dissolve,溶かす、解散する
i-1716,awaken,目覚めさせる、呼び覚ます
i-1717,stake,利害関係、賭け金
i-1718,surplus,余剰、黒字
i-1719,sociology,社会学
i-1720,frontier,最前線、最先端
i-1721,radiation,放射線、放射能
i-1722,questionnaire,アンケート
i-1723,intellect,知性、知的能力
i-1724,hospitality,もてなし、歓待
i-1725,librarian,司書、図書館員
i-1726,hygiene,衛生
i-1727,authentic,本物の、正真正銘の
i-1728,immense,膨大な、巨大な
i-1729,absurd,ばかげた、あり得ない
i-1730,feminine,女らしい、女性の
i-1731,hollow,空洞の、空虚な
i-1732,crude,大まかな、粗野な
i-1733,pessimistic,悲観的な
i-1734,vain,無駄な、うぬぼれた
i-1735,edible,食べられる、食用の
i-1736,excel,優れている、秀でる
i-1737,prosper,繁栄する、成功する
i-1738,surge,殺到する、急増する
i-1739,intervene,介入する、仲裁する
i-1740,addict,中毒者、中毒にする
i-1741,condemn,非難する、有罪とする
i-1742,dictate,命令する、書き取らせる
i-1743,roam,歩き回る、放浪する
i-1744,enclose,同封する、取り囲む
i-1745,execute,実行する、処刑する
i-1746,coincide,一致する、同時に起こる
i-1747,inquire,尋ねる、問い合わせる
i-1748,betray,裏切る、漏らす
i-1749,converse,会話する、逆の
i-1750,recite,暗唱する、朗読する
i-1751,pledge,誓う、約束する
i-1752,aspire,目指す、熱望する
i-1753,commerce,商業、貿易
i-1754,timber,木材
i-1755,garment,衣服
i-1756,bureau,官庁、事務局
i-1757,toll,損害、使用料
i-1758,superstition,迷信
i-1759,glimpse,ちらりと見ること、ちらりと見る
i-1760,archive,記録文書、公文書
i-1761,ward,行政区、病棟
i-1762,irony,皮肉
i-1763,astronomy,天文学
i-1764,tumor,腫瘍
i-1765,defect,欠陥、欠点
i-1766,sentiment,感情、心情
i-1767,masculine,男らしい、男性の
i-1768,rigid,硬直した、厳しい
i-1769,literal,文字どおりの、逐語的な
i-1770,anonymous,匿名の
i-1771,antique,骨董の、古風な
i-1772,eternal,永遠の
i-1773,thermal,熱の、熱による
i-1774,naive,世間知らずな、お人よしの
i-1775,arrogant,横柄な、傲慢な
i-1776,illuminate,照らす、明らかにする
i-1777,console,慰める、コンソール
i-1778,hinder,妨げる、邪魔する
i-1779,erupt,噴火する、突然起こる
i-1780,plunge,突っ込む、急落する
i-1781,soothe,なだめる、和らげる
i-1782,flush,赤面する、勢いよく流す
i-1783,haunt,つきまとう、出没する
i-1784,divert,そらす、迂回させる
i-1785,unify,統一する、統合する
i-1786,tactics,作戦、方策
i-1787,analogy,類推、類似
i-1788,conscience,良心
i-1789,textile,織物、繊維
i-1790,plague,疫病、悩ます
i-1791,grid,供給網、格子
i-1792,carriage,馬車、車両
i-1793,friction,摩擦、不和
i-1794,monopoly,独占、独占権
i-1795,predecessor,前任者
i-1796,vessel,船、血管
i-1797,geometry,幾何学
i-1798,symmetry,左右対称、対称性
i-1799,masterpiece,傑作
i-1800,rhyme,韻、押韻詩
i-1801,courtesy,礼儀、丁重さ
i-1802,bankrupt,破産した
i-1803,stern,厳しい、険しい
i-1804,fertile,肥えた、多産の
i-1805,approximate,おおよその、およそ
i-1806,compatible,両立できる、互換性がある
i-1807,ample,十分すぎるほどの、豊富な
i-1808,deduce,推論する、導き出す
i-1809,assault,暴行する、暴行
i-1810,torture,拷問する、拷問
i-1811,cherish,大切にする、胸に抱く
i-1812,arouse,引き起こす、目覚めさせる
i-1813,dread,ひどく恐れる、恐怖
i-1814,nourish,栄養を与える、育む
i-1815,inject,注入する、注射する
i-1816,expire,期限が切れる、死亡する
i-1817,embassy,大使館
i-1818,refuge,避難所、避難
i-1819,latitude,緯度、自由度
i-1820,rhetoric,修辞、美辞
i-1821,sewage,下水、汚水
i-1822,subsidy,補助金
i-1823,mortgage,住宅ローン、抵当
i-1824,attorney,弁護士
i-1825,contempt,軽蔑
i-1826,liable,しがちな、責任がある
i-1827,abrupt,急な、不意の
i-1828,reckless,無謀な、向こう見ずな
i-1829,notorious,悪名高い
i-1830,mortal,致命的な、死すべき
i-1831,correlate,相関する、関連づく
i-1832,innovate,革新する、刷新する
i-1833,deploy,配備する、展開する
i-1834,empower,力を与える、権限を与える
i-1835,wed,結婚する
i-1836,neuron,ニューロン、神経細胞
i-1837,antibiotic,抗生物質
i-1838,dementia,認知症
i-1839,diabetes,糖尿病
i-1840,indigenous,先住の、原産の
i-1841,aboriginal,先住民の、アボリジニの
i-1842,cortex,皮質、大脳皮質
i-1843,syndrome,症候群
i-1844,deforestation,森林伐採
i-1845,aesthetic,美的な、美学の
i-1846,demographic,人口統計の
i-1847,prehistoric,有史以前の、先史時代の
i-1848,innate,生まれつきの、先天的な
i-1849,suppress,抑える、抑圧する
i-1850,manipulate,操る、改ざんする
i-1851,comprise,構成する、成り立つ
i-1852,criterion,基準
i-1853,paradox,逆説、矛盾
i-1854,legislation,法律、立法
i-1855,irrigation,灌漑
i-1856,unprecedented,前例のない
i-1857,indispensable,欠かせない
i-1858,imperial,帝国の、皇帝の
i-1859,superficial,表面的な、うわべだけの
i-1860,inherent,本来の、生来の
i-1861,undermine,徐々に損なう、弱める
i-1862,mutation,突然変異
i-1863,county,郡
i-1864,metropolitan,大都市の、首都圏の
i-1865,divine,神の、神聖な
i-1866,spontaneous,自然に起こる、自発的な
i-1867,spatial,空間の
i-1868,entitle,権利を与える、題名を付ける
i-1869,refrain,控える、我慢する
i-1870,populate,住む、住民がいる
i-1871,transplant,移植する、移植
i-1872,speculate,推測する、投機する
i-1873,intrigue,興味を引く、陰謀
i-1874,contaminate,汚染する、汚す
i-1875,conceive,思いつく、想像する
i-1876,entrepreneur,起業家、事業家
i-1877,ideology,思想体系、イデオロギー
i-1878,realm,領域、分野
i-1879,algorithm,アルゴリズム
i-1880,prairie,大草原
i-1881,placebo,偽薬、プラシーボ
i-1882,manuscript,手書き原稿、原稿
i-1883,obsession,取りつかれること、強迫観念
i-1884,legitimate,合法の、妥当な
i-1885,sheer,まったくの、すごい
i-1886,explicit,明白な、率直な
i-1887,prone,なりやすい
i-1888,affluent,裕福な
i-1889,exert,及ぼす、行使する
i-1890,convict,有罪にする、受刑者
i-1891,prescribe,処方する、規定する
i-1892,inhibit,抑える、妨げる
i-1893,sprawl,不規則に広がる、だらりと座る
i-1894,disregard,無視する、軽視する
i-1895,evoke,呼び起こす、喚起する
i-1896,grace,優美、恩恵
i-1897,autonomy,自治、自律
i-1898,discourse,議論、会話
i-1899,glossary,用語集、用語辞典
i-1900,anthropology,人類学
i-1901,psychiatrist,精神科医
i-1902,probe,探査機、探針
i-1903,sanitation,公衆衛生、衛生設備
i-1904,longevity,長寿、寿命
i-1905,plausible,もっともらしい、ありそうな
i-1906,vigorous,精力的な、活発な
i-1907,adverse,不都合な、不利な
i-1908,coherent,筋の通った、一貫した
i-1909,subordinate,下位の、部下
i-1910,apt,しがちな、適切な
i-1911,extrovert,外向的な人
i-1912,conspicuous,目立つ、顕著な
i-1913,intact,損なわれていない、無傷の
i-1914,embody,具現する、体現する
i-1915,disclose,公表する、暴露する
i-1916,constrain,強いる、制約する
i-1917,withstand,耐える、持ちこたえる
i-1918,embed,埋め込む、組み込む
i-1919,displace,取って代わる、移動させる
i-1920,shun,避ける
i-1921,impair,損なう、悪化させる
i-1922,presume,思う、推定する
i-1923,contend,主張する、争う
i-1924,feat,偉業、功績
i-1925,prestige,名声、威信
i-1926,deficit,赤字、不足
i-1927,metabolism,代謝
i-1928,paralysis,麻痺
i-1929,regime,政権、体制
i-1930,staple,主食、必需品
i-1931,vendor,物売り、販売業者
i-1932,premium,保険料、割増金
i-1933,protocol,議定書、手順
i-1934,specimen,標本、実例
i-1935,thesis,論文、命題
i-1936,vocational,職業の、職業訓練の
i-1937,maternal,母の、母親らしい
i-1938,obsolete,時代遅れの、廃れた
i-1939,acoustic,音響の、聴覚の
i-1940,preliminary,予備の、準備の
i-1941,implicit,暗黙の、含みのある
i-1942,pervasive,広く行き渡った、蔓延した
i-1943,simulate,模擬実験する、まねる
i-1944,penetrate,浸透する、突き抜ける
i-1945,cater,まかなう、対応する
i-1946,erect,建てる、直立させる
i-1947,doom,運命づける、破滅
i-1948,mourn,悼む、嘆く
i-1949,bid,値を付ける、入札する
i-1950,corrupt,堕落させる、買収する
i-1951,compile,編集する、まとめる
i-1952,allocate,割り当てる、配分する
i-1953,offset,相殺する、埋め合わせる
i-1954,restrain,抑える、制止する
i-1955,comply,従う、応じる
i-1956,embark,乗り込む、着手する
i-1957,furnish,備え付ける、提供する
i-1958,forge,偽造する、鍛造する
i-1959,thrust,押しつける、突き刺す
i-1960,dispatch,派遣する、発送する
i-1961,resent,憤る、腹を立てる
i-1962,allege,主張する、申し立てる
i-1963,oppress,抑圧する、迫害する
i-1964,expel,追放する、追い出す
i-1965,ascend,上昇する、昇る
i-1966,commence,始まる、開始する
i-1967,reign,統治、治世
i-1968,diplomacy,外交
i-1969,exile,亡命、追放する
i-1970,solitude,孤独
i-1971,archaeology,考古学
i-1972,synthesis,合成、統合
i-1973,doctrine,教義、主義
i-1974,holistic,全体的な、包括的な
i-1975,eloquent,雄弁な、表現力のある
i-1976,juvenile,青少年の、未熟な
i-1977,cynical,冷笑的な、皮肉な
i-1978,monotonous,単調な、一本調子の
i-1979,perpetual,永続的な、絶え間ない
i-1980,notwithstanding,にもかかわらず
i-1981,enact,制定する、施行する
i-1982,sweatshop,搾取工場
i-1983,paradigm,枠組み、典型
i-1984,empirical,経験的な、実証的な
i-1985,susceptible,影響を受けやすい、感染しやすい
i-1986,contemplate,熟考する、思案する
i-1987,enlightenment,啓発、啓蒙
i-1988,arbitrary,恣意的な、勝手な
i-1989,render,〜の状態にする、与える
i-1990,entail,伴う、引き起こす
i-1991,intrinsic,固有の、本質的な
i-1992,preoccupy,心を奪う、夢中にさせる
i-1993,reconcile,和解させる、一致させる
i-1994,advent,到来、出現
i-1995,plight,窮状
i-1996,fallacy,誤った考え、誤謬
i-1997,intelligible,理解できる、明瞭な
i-1998,zealous,熱心な、熱烈な
i-1999,ubiquitous,至る所にある、普遍的な
i-2000,verse,韻文、詩
